"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Carvão Mineral";"27040012";"Coques com granulometria inferior a 80 mm";556532424;1656607396;"KGL";"QUILOGRAMA LIQUIDO";"27040012_2018";0,3389
"2018";"Carvão Mineral";"27011900";"Outras hulhas, mesmo em pó, mas não aglomeradas";346639543;2271008308;"KGL";"QUILOGRAMA LIQUIDO";"27011900_2018";0,1414
"2018";"Carvão Mineral";"27011100";"Hulha antracita, não aglomerada";192921526;1645148922;"KGL";"QUILOGRAMA LIQUIDO";"27011100_2018";0,1215
"2018";"Carvão Mineral";"85451100";"Eletrodos de carvão, dos tipos utilizados em fornos";147855986;16190339;"KGL";"QUILOGRAMA LIQUIDO";"85451100_2018";11,5983
"2018";"Carvão Mineral";"27040011";"Coques com granulometria igual ou superior a 80 mm";65748619;178423734;"KGL";"QUILOGRAMA LIQUIDO";"27040011_2018";0,4014
"2018";"Carvão Mineral";"27079990";"Outros óleos e produtos da destilação do alcatrão de hulha";44429416;54885858;"KGL";"QUILOGRAMA LIQUIDO";"27079990_2018";1,0888
"2018";"Carvão Mineral";"27081000";"Breu obtido a partir do alcatrão de hulha ou de outros alcatrões minerais";34746620;45264107;"KGL";"QUILOGRAMA LIQUIDO";"27081000_2018";0,9646
"2018";"Carvão Mineral";"27075000";"Outras misturas de hidrocarbonetos aromáticos que destilem, incluindo as perdas, uma fração igual ou superior a 65 %, em volume, a 250 °C, segundo o método ASTM D 86";17468598;23771762;"KGL";"QUILOGRAMA LIQUIDO";"27075000_2018";0,9043
"2018";"Carvão Mineral";"38021000";"Carvões ativados";16531268;6566841;"KGL";"QUILOGRAMA LIQUIDO";"38021000_2018";3,8049
"2018";"Caulim";"48109290";"Outros papéis e cartões de camadas múltiplas, revestidos de caulim, em rolos ou folhas";48252173;53822,127;"TML";"TONELADA METRICA LIQUIDA";"48109290_2018";857,7
"2018";"Caulim";"69111090";"Outros artigos para serviços de mesa/cozinha, de porcelana";12436574;3795,478;"TML";"TONELADA METRICA LIQUIDA";"69111090_2018";4644,1
"2018";"Caulim";"69111010";"Conjunto (jogo ou aparelho) para jantar, café ou chá, apresentado em embalagem comum, de porcelana";7610696;2619,921;"TML";"TONELADA METRICA LIQUIDA";"69111010_2018";4164,7
"2018";"Caulim";"25070010";"Caulim (caulino), mesmo calcinados";5533524;11940,09;"TML";"TONELADA METRICA LIQUIDA";"25070010_2018";591,7
"2018";"Caulim";"69101000";"Pias, lavatórios, etc, para sanitários, de porcelana";5276113;235797;"UNID.";"NUMERO (UNIDADE)";"69101000_2018";51,8261
"2018";"Caulim";"25070090";"Outras argilas caulínicas, mesmo calcinadas";3945790;10810,951;"TML";"TONELADA METRICA LIQUIDA";"25070090_2018";420,3
"2018";"Caulim";"69131000";"Estatuetas/outros objetos ornamentais de porcelana";2924807;1678,047;"TML";"TONELADA METRICA LIQUIDA";"69131000_2018";4339,3
"2018";"Caulim";"48109990";"Outros papéis/cartões, revestidos de caulim, em rolos/folhas";2917398;2364,291;"TML";"TONELADA METRICA LIQUIDA";"48109990_2018";2939,5
"2018";"Caulim";"48109910";"Outros papéis e cartões revestidos de caulim, em tiras ou rolos de largura não superior a 15 cm ou em folhas em que nenhum lado exceda 360 mm, quando não dobradas";1137648;988,846;"TML";"TONELADA METRICA LIQUIDA";"48109910_2018";1132,85
"2018";"Caulim";"69119000";"Outros artigos de uso doméstico, higiene, etc, de porcelana";921189;593,43;"TML";"TONELADA METRICA LIQUIDA";"69119000_2018";6033,9
"2018";"Chumbo";"78011090";"Outras formas brutas de chumbo refinado";141621084;57344;"TML";"TONELADA METRICA LIQUIDA";"78011090_2018";2491,0339
"2018";"Chumbo";"85072010";"Outros acumuladores elétricos, de chumbo, peso <= 1000 kg";94513326;6548280;"UNID.";"NUMERO (UNIDADE)";"85072010_2018";97,2
"2018";"Chumbo";"78019100";"Chumbos que contenham antimônio como segundo elemento predominante em peso";22788354;434848;"TML";"TONELADA METRICA LIQUIDA";"78019100_2018";2390,8579
"2018";"Chumbo";"85071090";"Outros acumuladores elétricos de chumbo";20516319;276249;"UNID.";"NUMERO (UNIDADE)";"85071090_2018";96,1282
"2018";"Chumbo";"85071010";"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V";11948714;1093161;"UNID.";"NUMERO (UNIDADE)";"85071010_2018";25,8556
"2018";"Chumbo";"78019900";"Outras formas brutas de chumbo";5140938;2583;"TML";"TONELADA METRICA LIQUIDA";"78019900_2018";1902,6984
"2018";"Chumbo";"93062900";"Chumbos para carabinas de ar comprimido, partes para cartuchos";2816336;665,288;"TML";"TONELADA METRICA LIQUIDA";"93062900_2018";6266,7
"2018";"Chumbo";"85072090";"Outros acumuladores elétricos, de chumbo";2607609;50294;"UNID.";"NUMERO (UNIDADE)";"85072090_2018";179,5
"2018";"Chumbo";"38111100";"Preparações antidetonantes à base de compostos de chumbo";2399036;63;"TML";"TONELADA METRICA LIQUIDA";"38111100_2018";36846,5
"2018";"Chumbo";"78060090";"Outras obras de chumbo";1491767;355,135;"TML";"TONELADA METRICA LIQUIDA";"78060090_2018";11331,35
"2018";"Cobalto";"81052029";"Outros pós";24351786;1297,565;"TML";"TONELADA METRICA LIQUIDA";"81052029_2018";36879,45
"2018";"Cobalto";"81052010";"Cobalto em formas brutas";21066854;263,767;"TML";"TONELADA METRICA LIQUIDA";"81052010_2018";81779,25
"2018";"Cobalto";"28220090";"Outros óxidos e hidróxidos de cobalto, inclusive os comerciais";14217685;714,757;"TML";"TONELADA METRICA LIQUIDA";"28220090_2018";46862
"2018";"Cobalto";"28220010";"Tetraóxido de tricobalto (óxido salino de cobalto)";4642070;85,4;"TML";"TONELADA METRICA LIQUIDA";"28220010_2018";59670,5
"2018";"Cobalto";"81059010";"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de cobalto";3468767;28,559;"TML";"TONELADA METRICA LIQUIDA";"81059010_2018";141248,95
"2018";"Cobalto";"81059090";"Outras obras de cobalto";2414622;28,002;"TML";"TONELADA METRICA LIQUIDA";"81059090_2018";132952
"2018";"Cobalto";"81052021";"Pós de ligas à base de cobalto-cromo-tungstênio (volfrâmio) (estelites)";1787956;30,657;"TML";"TONELADA METRICA LIQUIDA";"81052021_2018";57186,55
"2018";"Cobalto";"28273997";"Cloreto de cobalto";126042;7,081;"TML";"TONELADA METRICA LIQUIDA";"28273997_2018";257166,65
"2018";"Cobalto";"81052090";"Mates de cobalto e outros produtos intermediários metálicos";76571;1,064;"TML";"TONELADA METRICA LIQUIDA";"81052090_2018";113500
"2018";"Cobalto";"26050000";"Minérios de cobalto e seus concentrados";8221;0,048;"TML";"TONELADA METRICA LIQUIDA";"26050000_2018";168357,1
