"CO_ANO";"SUBSTANCIA";"CO_NCM";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Caulim";"48109290";38145693;42258,764;"TML";"TONELADA METRICA LIQUIDA";18,018;"Outros papéis e cartões de camadas múltiplas, revestidos de caulim, em rolos ou folhas"
"2018";"Caulim";"69111090";2351523;1203,516;"TML";"TONELADA METRICA LIQUIDA";1,111;"Outros artigos para serviços de mesa/cozinha, de porcelana"
"2018";"Caulim";"69111010";434525;98,037;"TML";"TONELADA METRICA LIQUIDA";0,205;"Conjunto (jogo ou aparelho) para jantar, café ou chá, apresentado em embalagem comum, de porcelana"
"2018";"Caulim";"25070090";388077;1516,499;"TML";"TONELADA METRICA LIQUIDA";0,183;"Outras argilas caulínicas, mesmo calcinadas"
"2018";"Caulim";"69101000";337866;18000;"UNID.";"NUMERO (UNIDADE)";0,16;"Pias, lavatórios, etc, para sanitários, de porcelana"
"2018";"Caulim";"69131000";55017;1,514;"TML";"TONELADA METRICA LIQUIDA";0,026;"Estatuetas/outros objetos ornamentais de porcelana"
"2018";"Caulim";"69141000";34316;2,207;"TML";"TONELADA METRICA LIQUIDA";0,016;"Outras obras de porcelana"
"2018";"Caulim";"69119000";5274;0,35;"TML";"TONELADA METRICA LIQUIDA";0,002;"Outros artigos de uso doméstico, higiene, etc, de porcelana"
"2018";"Caulim";"48109990";1161;0,57;"TML";"TONELADA METRICA LIQUIDA";0,001;"Outros papéis/cartões, revestidos de caulim, em rolos/folhas"
"2018";"Chumbo";"85071090";106456575;2213431;"UNID.";"NUMERO (UNIDADE)";62,71;"Outros acumuladores elétricos de chumbo"
"2018";"Chumbo";"78011011";33705932;14159;"TML";"TONELADA METRICA LIQUIDA";19,855;"Chumbo refinado, eletrolítico, em lingotes"
"2018";"Chumbo";"26070000";16911907;16815,003;"TML";"TONELADA METRICA LIQUIDA";9,962;"Minérios de chumbo e seus concentrados"
"2018";"Chumbo";"85072010";5479550;45240;"UNID.";"NUMERO (UNIDADE)";3,228;"Outros acumuladores elétricos, de chumbo, peso <= 1000 kg"
"2018";"Chumbo";"78019900";1546371;2470674;"TML";"TONELADA METRICA LIQUIDA";0,911;"Outras formas brutas de chumbo"
"2018";"Chumbo";"28241000";1490650;460;"TML";"TONELADA METRICA LIQUIDA";0,878;"Monóxido de chumbo (litargirio, massicote)"
"2018";"Chumbo";"85072090";1445577;4605;"UNID.";"NUMERO (UNIDADE)";0,852;"Outros acumuladores elétricos, de chumbo"
"2018";"Chumbo";"78060090";1223520;199,574;"TML";"TONELADA METRICA LIQUIDA";0,721;"Outras obras de chumbo"
"2018";"Chumbo";"85071010";498658;30661;"UNID.";"NUMERO (UNIDADE)";0,294;"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V"
"2018";"Chumbo";"78060010";347748;32,535;"TML";"TONELADA METRICA LIQUIDA";0,205;"Barras, perfis e fios de chumbo"
"2018";"Cobalto";"28220090";1884189;30,405;"TML";"TONELADA METRICA LIQUIDA";63,384;"Outros óxidos e hidróxidos de cobalto, inclusive os comerciais"
"2018";"Cobalto";"28220010";634228;10,85;"TML";"TONELADA METRICA LIQUIDA";21,335;"Tetraóxido de tricobalto (óxido salino de cobalto)"
"2018";"Cobalto";"26050000";255446;148,137;"TML";"TONELADA METRICA LIQUIDA";8,593;"Minérios de cobalto e seus concentrados"
"2018";"Cobalto";"81059010";98411;0,106;"TML";"TONELADA METRICA LIQUIDA";3,311;"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de cobalto"
"2018";"Cobalto";"81052010";61893;4,679;"TML";"TONELADA METRICA LIQUIDA";2,082;"Cobalto em formas brutas"
"2018";"Cobalto";"81059090";31804;0,001;"TML";"TONELADA METRICA LIQUIDA";1,07;"Outras obras de cobalto"
"2018";"Cobalto";"28273997";6686;0,251;"TML";"TONELADA METRICA LIQUIDA";0,225;"Cloreto de cobalto"
"2018";"Cobre";"26030090";2060909053;935307,64;"TML";"TONELADA METRICA LIQUIDA";57,986;"Outros minérios de cobre e seus concentrados"
"2018";"Cobre";"26030010";579345411;311239,519;"TML";"TONELADA METRICA LIQUIDA";16,301;"Sulfetos de minérios de cobre e seus concentrados"
"2018";"Cobre";"74031100";288374612;43951;"TML";"TONELADA METRICA LIQUIDA";8,114;"Cátodos e seus elementos de cobre refinado, em formas brutas"
"2018";"Cobre";"74081100";134475820;20204,832;"TML";"TONELADA METRICA LIQUIDA";3,784;"Fios de cobre refinado, com a maior dimensão da seção transversal superior a 6 mm"
"2018";"Cobre";"74081900";119052452;14316,659;"TML";"TONELADA METRICA LIQUIDA";3,35;"Outros fios de cobre refinado"
"2018";"Cobre";"74111010";66795880;8679,469;"TML";"TONELADA METRICA LIQUIDA";1,879;"Tubos de cobre refinado, não aletados nem ranhurados"
"2018";"Cobre";"74040000";58779410;14814,087;"TML";"TONELADA METRICA LIQUIDA";1,654;"Desperdícios e resíduos, de cobre"
"2018";"Cobre";"74092100";55024084;8847,62;"TML";"TONELADA METRICA LIQUIDA";1,548;"Chapas e tiras de ligas à base de cobre-zinco (latão, de espessura superior a 0,15 mm, em rolos"
"2018";"Cobre";"85441100";46788809;5701,011;"TML";"TONELADA METRICA LIQUIDA";1,316;"Fios de cobre para bobinar, isolados para usos elétricos (incluindo os envernizados ou oxidados anodicamente)"
"2018";"Cobre";"74010000";41029566;19480,673;"TML";"TONELADA METRICA LIQUIDA";1,154;"Mates de cobre; cobre de cementação (precipitado de cobre)"
"2018";"Coríndon";"38160021";326;100;"KGL";"QUILOGRAMA LIQUIDO";100;"Preparações refratárias que contenham grafita e 50 % ou mais, em peso, de coríndon"
"2018";"Cromo";"72042100";55630209;37245,003;"TML";"TONELADA METRICA LIQUIDA";17,15;"Desperdícios e resíduos de aços inoxidáveis"
"2018";"Cromo";"72193300";45855377;26360,287;"TML";"TONELADA METRICA LIQUIDA";14,136;"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a frio, de espessura superior a 1 mm, mas inferior a 3 mm"
"2018";"Cromo";"72193400";41886751;22864,568;"TML";"TONELADA METRICA LIQUIDA";12,913;"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a frio, de espessura igual ou superior a 0,5 mm, mas não superior a 1 mm"
"2018";"Cromo";"72222000";23928721;2939,453;"TML";"TONELADA METRICA LIQUIDA";7,377;"Barras de aço inxodiável simplesmente obtidas ou completamente acabadas a frio"
"2018";"Cromo";"73239300";18790616;2003,798;"TML";"TONELADA METRICA LIQUIDA";5,793;"Outros artefatos domésticos, de aços inoxidáveis, e partes"
"2018";"Cromo";"82159910";18151744;2362,835;"TML";"TONELADA METRICA LIQUIDA";5,596;"Colheres, garfos, conchas, escumadeiras, etc, de aços inoxidáveis"
"2018";"Cromo";"73241000";15399184;2083,812;"TML";"TONELADA METRICA LIQUIDA";4,747;"Pias e lavatórios, de aços inoxidáveis"
"2018";"Cromo";"72024900";14759529;5707,251;"TML";"TONELADA METRICA LIQUIDA";4,55;"Outras ligas de ferro-cromo"
