"CO_ANO";"SUBSTANCIA";"CO_NCM";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Cobre";"85441100";10487990;779,525;"TML";"TONELADA METRICA LIQUIDA";0,437;"Fios de cobre para bobinar, isolados para usos elétricos (incluindo os envernizados ou oxidados anodicamente)"
"2018";"Coríndon";"38160021";678499;352062;"KGL";"QUILOGRAMA LIQUIDO";100;"Preparações refratárias que contenham grafita e 50 % ou mais, em peso, de coríndon"
"2018";"Cromo";"73064000";84690133;32078,941;"TML";"TONELADA METRICA LIQUIDA";11,529;"Outros tubos soldados, de seção circular, de aço inoxidável"
"2018";"Cromo";"73239300";49222055;12090,099;"TML";"TONELADA METRICA LIQUIDA";6,701;"Outros artefatos domésticos, de aços inoxidáveis, e partes"
"2018";"Cromo";"72193300";43240283;19811,116;"TML";"TONELADA METRICA LIQUIDA";5,887;"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a frio, de espessura superior a 1 mm, mas inferior a 3 mm"
"2018";"Cromo";"72193400";41031343;19083,258;"TML";"TONELADA METRICA LIQUIDA";5,586;"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a frio, de espessura igual ou superior a 0,5 mm, mas não superior a 1 mm"
"2018";"Cromo";"72222000";40404601;16050,18;"TML";"TONELADA METRICA LIQUIDA";5,501;"Barras de aço inxodiável simplesmente obtidas ou completamente acabadas a frio"
"2018";"Cromo";"72202090";39536323;10982,749;"TML";"TONELADA METRICA LIQUIDA";5,382;"Outros produtos laminados planos de aço inoxidável, de largura inferior a 600 mm, simplesmente laminados a frio"
"2018";"Cromo";"73042400";37953974;3260,348;"TML";"TONELADA METRICA LIQUIDA";5,167;"Outros tubos, dos tipos utilizados na extração de petróleo ou de gás, de aço inoxidável"
"2018";"Cromo";"28332960";37076684;43919,3;"TML";"TONELADA METRICA LIQUIDA";5,047;"Sulfatos de cromo"
"2018";"Cromo";"73072900";31122806;796,279;"TML";"TONELADA METRICA LIQUIDA";4,237;"Outros acessórios para tubos, de aços inoxidáveis"
"2018";"Cromo";"72024100";28438844;20328,795;"TML";"TONELADA METRICA LIQUIDA";3,872;"Ferro-cromo, que contenham, em peso, mais de 4 % de carbono"
"2018";"Diamante";"68042119";82202731;3447685;"KGL";"QUILOGRAMA LIQUIDO";64,999;"Outros mós de diamante natural ou sintético, aglomerado, de diâmetro inferior a 53,34 cm"
