"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"EX_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2018";"Fosfato";"PRODUTOS SEMIMANUFATURADOS";1893570;4404,682;1,11
"2016";"Gemas";"PRODUTOS BASICOS";35032983;11539,599;20,52
"2017";"Gemas";"PRODUTOS BASICOS";34777014;11577,215;20,92
"2018";"Gemas";"PRODUTOS BASICOS";47645318;9978,029;28,65
"2016";"Gemas";"PRODUTOS MANUFATURADOS";131380827;7979,251;76,95
"2017";"Gemas";"PRODUTOS MANUFATURADOS";127797469;9359,547;76,86
"2018";"Gemas";"PRODUTOS MANUFATURADOS";116301854;8844,869;69,95
"2016";"Gemas";"TRANSACOES ESPECIAIS";4320267;3,292;2,53
"2017";"Gemas";"TRANSACOES ESPECIAIS";3692335;9,606;2,22
"2018";"Gemas";"TRANSACOES ESPECIAIS";2328975;0,746;1,4
"2016";"Gipsita";"PRODUTOS BASICOS";7749;0,325;0,24
"2017";"Gipsita";"PRODUTOS BASICOS";9683;80,861;0,27
"2018";"Gipsita";"PRODUTOS BASICOS";9988;1,305;0,26
"2016";"Gipsita";"PRODUTOS MANUFATURADOS";3229833;30247,434;99,76
"2017";"Gipsita";"PRODUTOS MANUFATURADOS";3631487;35077,531;99,73
"2018";"Gipsita";"PRODUTOS MANUFATURADOS";3833591;34586,953;99,74
"2016";"Grafita";"PRODUTOS BASICOS";28270022;24872,575;75,99
"2017";"Grafita";"PRODUTOS BASICOS";29590823;23468,345;74,14
"2018";"Grafita";"PRODUTOS BASICOS";32903250;24038,167;68,42
"2016";"Grafita";"PRODUTOS MANUFATURADOS";8933060;6768,138;24,01
"2017";"Grafita";"PRODUTOS MANUFATURADOS";10321276;7300,937;25,86
"2018";"Grafita";"PRODUTOS MANUFATURADOS";15187784;10098,881;31,58
"2016";"Iodo";"PRODUTOS MANUFATURADOS";5740635;255,035;100
"2017";"Iodo";"PRODUTOS MANUFATURADOS";4801740;234,083;100
"2018";"Iodo";"PRODUTOS MANUFATURADOS";5552646;226,866;100
"2018";"Irídio";"PRODUTOS MANUFATURADOS";228750;0,024;100
"2017";"Lítio";"PRODUTOS BASICOS";819;1;0,07
"2018";"Lítio";"PRODUTOS BASICOS";1733154;3060,464;55,74
"2016";"Lítio";"PRODUTOS MANUFATURADOS";4196227;45,85;100
"2017";"Lítio";"PRODUTOS MANUFATURADOS";1154971;11,831;99,93
"2018";"Lítio";"PRODUTOS MANUFATURADOS";1376323;30,392;44,26
"2016";"Magnésio";"PRODUTOS BASICOS";72463166;214430,189;86,5
"2017";"Magnésio";"PRODUTOS BASICOS";110964885;293759,322;89,1
"2018";"Magnésio";"PRODUTOS BASICOS";135118638;263970,178;93,99
"2016";"Magnésio";"PRODUTOS MANUFATURADOS";8435150;15932,609;10,07
"2017";"Magnésio";"PRODUTOS MANUFATURADOS";12779746;24549,265;10,26
"2018";"Magnésio";"PRODUTOS MANUFATURADOS";7992716;12752,502;5,56
"2016";"Magnésio";"PRODUTOS SEMIMANUFATURADOS";2875232;762;3,43
"2017";"Magnésio";"PRODUTOS SEMIMANUFATURADOS";801120;174,707;0,64
"2018";"Magnésio";"PRODUTOS SEMIMANUFATURADOS";649000;160;0,45
"2016";"Manganês";"PRODUTOS BASICOS";201815070;2010141,319;69,28
"2017";"Manganês";"PRODUTOS BASICOS";365636402;2683295,234;75,81
"2018";"Manganês";"PRODUTOS BASICOS";406787507;2614999,645;81,49
"2016";"Manganês";"PRODUTOS MANUFATURADOS";45486563;24379,101;15,61
